address,city,state,zip, price , sqft ,bedrooms,bathrooms,property age,parking,heating,basement,attic,green_bldg,age_in_years, price_per_sqft ,seller_rating,sale_type,price_range,cluster,property_score
108 Colonial Dr,Sewickley,PA,15143,"$224,500.00 ",,3,2,1977,0,0,1,0,0,40,,0.3,House,$200k-$350k,cluster3,One
130 Noble Ave,Pittsburgh,PA,15205,"$224,000.00 ","3,290",5,3,1976,1,0,1,1,0,41,$68.09 ,2.7,House,$200k-$350k,cluster4,Two
4952 Flamingo Dr,Pittsburgh,PA,15236,"$223,900.00 ",,3,3,1999,1,0,0,0,0,18,,1.1,For Sale by Owner,$200k-$350k,cluster3,One
605 Pittsburgh St,Springdale,PA,15144,"$223,500.00 ",,7,4,1966,0,1,0,0,0,51,,4.6,House,$200k-$350k,cluster3,One
133 3Rd Ave,Pittsburgh,PA,15229,"$223,500.00 ",,4,4,1942,1,0,0,1,0,75,,3.5,House,$200k-$350k,cluster4,Three
Nobles Ln,Pittsburgh,PA,15210,"$223,000.00 ","1,080",2,1,2010,1,0,1,0,1,7,$206.48 ,1.2,Auction,$200k-$350k,cluster5,Five
272 Hays Rd,Pittsburgh,PA,15241,"$223,000.00 ","1,715",3,3,1955,0,1,0,1,0,62,$130.03 ,1.6,Auction,$200k-$350k,cluster1,Three
Queens Dr,Library,PA,15129,"$222,000.00 ","1,821",3,3,1939,0,0,0,0,1,78,$121.91 ,4,Auction,$200k-$350k,cluster5,Five
Haymaker Rd,Monroeville,PA,15146,"$222,000.00 ","2,745",4,3,1985,1,1,1,0,1,32,$80.87 ,3.3,Auction,$200k-$350k,cluster5,Five
N Beatty St,Pittsburgh,PA,15206,"$222,000.00 ","2,754",4,2,1941,0,0,0,0,0,76,$80.61 ,3.9,Auction,$200k-$350k,cluster3,One
5825 Fifth Ave 112 # 112,Shadyside,PA,15232,"$222,000.00 ",,2,2,1909,1,1,0,1,0,,,4.2,Condo,$200k-$350k,cluster1,Four
Ramsgate Dr,Bethel Park,PA,15102,"$220,000.00 ","1,904",4,3,1948,0,0,1,0,0,69,$115.55 ,4.4,Auction,$200k-$350k,cluster5,Five
110 Meta Dr,Sewickley,PA,15143,"$220,000.00 ",,3,1,1926,0,1,0,1,0,91,,2.7,House,$200k-$350k,cluster1,Three
716 Hopkins St,Sewickley,PA,15143,"$220,000.00 ","1,392",3,2,1926,1,0,0,1,0,91,$158.05 ,4.7,House,$200k-$350k,cluster4,Two
605 Middle St,Pittsburgh,PA,15212,"$220,000.00 ","1,488",2,2,1902,1,1,1,0,1,115,$147.85 ,3.9,House,$200k-$350k,cluster2,Three
128 N Craig 704 # 704,Oakland,PA,15213,"$220,000.00 ",,3,2,1965,1,1,1,0,1,,,3.5,Condo,$200k-$350k,cluster2,Three
1333 Sharps Hill Rd,Pittsburgh,PA,15215,"$220,000.00 ",,4,4,1916,1,1,0,0,0,101,,4.1,House,$200k-$350k,cluster2,Three
1136 Edward Dr,Pittsburgh,PA,15227,"$220,000.00 ",,3,3,1985,0,0,0,0,1,32,,4.6,House,$200k-$350k,cluster3,One
343 Ashland Ave,Pittsburgh,PA,15228,"$220,000.00 ","1,288",3,2,2009,0,1,0,1,1,8,$170.81 ,3.3,For Sale by Owner,$200k-$350k,cluster1,Four
1299 Folkstone Dr,Pittsburgh,PA,15243,"$220,000.00 ","1,386",3,2,1923,1,1,1,0,1,94,$158.73 ,0.8,House,$200k-$350k,cluster2,Three
1302 Balmoral Dr,Pittsburgh,PA,15237,"$219,995.00 ","1,632",3,2,1962,0,0,1,1,0,55,$134.80 ,3.3,House,$200k-$350k,cluster4,Two
1421 Lakeside Dr,Allison Park,PA,15101,"$219,900.00 ","1,868",3,2,1995,1,0,1,1,0,22,$117.72 ,4.5,House,$200k-$350k,cluster4,Two
624 Ray Dr,Carnegie,PA,15106,"$219,900.00 ",,3,3,1960,0,1,0,1,0,57,,3.3,House,$200k-$350k,cluster1,Four
1021 Forsythe Rd,Carnegie,PA,15106,"$219,900.00 ",,4,3,2009,1,1,1,1,1,8,,3.6,House,$200k-$350k,cluster6,Three
211 Wessex Hills Dr,Coraopolis,PA,15108,"$219,900.00 ",,4,3,1956,0,0,1,1,0,61,,3.8,House,$200k-$350k,cluster4,Three
1102 Brandon Way,Coraopolis,PA,15108,"$219,900.00 ",,3,3,1992,0,0,1,0,0,25,,3.5,Condo,$200k-$350k,cluster3,One
5689 Aiken Rd,Mc Kees Rocks,PA,15136,"$219,900.00 ","1,450",3,2,1900,1,0,1,1,1,117,$151.66 ,4.9,House,$200k-$350k,cluster6,Four
103 Forest Edge Dr,Sewickley,PA,15143,"$219,900.00 ",,3,2,1931,1,0,0,0,0,86,,0.1,House,$200k-$350k,cluster3,One
7309 Terrace Ave,Pittsburgh,PA,15202,"$219,900.00 ",,3,2,1979,1,0,0,1,1,38,,4.3,House,$200k-$350k,cluster6,Three
2027 Jane St,Pittsburgh,PA,15203,"$219,900.00 ",,,,1982,0,1,0,1,1,35,,3.2,Lot/Land,$200k-$350k,cluster1,Three
333 S Highland Ave Apt 201,Pittsburgh,PA,15206,"$219,900.00 ",,2,2,1958,0,1,0,0,1,59,,3,Condo,$200k-$350k,cluster2,Four
1 Trimont Ln Apt 301P,Pittsburgh,PA,15211,"$219,900.00 ",733,2,1,1950,1,1,1,0,1,67,$300.00 ,3.3,Condo,$200k-$350k,cluster2,Four
440 Winton St,Pittsburgh,PA,15211,"$219,900.00 ","1,650",3,2,1993,0,1,1,1,1,24,$133.27 ,3.4,House,$200k-$350k,cluster6,Three
6508 Rosemoor St,Pittsburgh,PA,15217,"$219,900.00 ","1,248",3,1,1940,0,0,1,1,0,77,$176.20 ,4.6,House,$200k-$350k,cluster4,Two
160 Arla Dr,Pittsburgh,PA,15220,"$219,900.00 ",,4,3,1973,0,1,1,0,1,44,,0.4,House,$200k-$350k,cluster2,Four
234 Parkedge Rd,Pittsburgh,PA,15220,"$219,900.00 ","1,215",3,2,1916,1,1,1,1,0,101,$180.99 ,3,House,$200k-$350k,cluster4,Two
219 Union St,Pittsburgh,PA,15221,"$219,900.00 ","2,208",5,2,1946,0,0,0,1,0,71,$99.59 ,4.2,House,$200k-$350k,cluster1,Three
103 10Th Ave,Pittsburgh,PA,15229,"$219,900.00 ",,4,2,1991,0,1,0,1,0,26,,0.3,House,$200k-$350k,cluster1,Four
282 Toura Dr,Pittsburgh,PA,15236,"$219,900.00 ",,3,3,1994,0,0,1,0,0,23,,4,House,$200k-$350k,cluster3,Two
545 Pine Crk,Mccandless,PA,15237,"$219,900.00 ",,4,4,1900,1,1,0,1,0,,,5,House,$200k-$350k,cluster1,Three
1233 Satellite Cir,Pittsburgh,PA,15241,"$219,900.00 ","1,620",4,3,1997,0,1,0,1,0,20,$135.74 ,3.1,House,$200k-$350k,cluster1,Three
212 Gerrie Dr,Pittsburgh,PA,15241,"$219,900.00 ","2,200",3,2,1976,0,1,0,1,0,41,$99.95 ,4.3,House,$200k-$350k,cluster1,Three
130 Johnston Rd,Upper Saint Clair,PA,15241,"$219,900.00 ","1,887",4,3,1935,1,0,0,1,1,,$116.53 ,1.3,House,$200k-$350k,cluster6,Three
574 Moreland Dr,Pittsburgh,PA,15243,"$219,900.00 ",,3,2,1908,0,0,1,1,1,109,,3.3,House,$200k-$350k,cluster6,Three
1242 Arrowood Dr,Pittsburgh,PA,15243,"$219,900.00 ","7,200",3,2,1930,0,1,1,0,0,87,$30.54 ,3.7,House,$200k-$350k,cluster3,One
4209 Ivanhoe Dr,Monroeville,PA,15146,"$219,500.00 ",,3,3,1922,0,0,1,0,1,95,,4.9,Condo,$200k-$350k,cluster6,Three
701 Wingate Dr,Pittsburgh,PA,15205,"$219,500.00 ",,4,4,1982,1,0,1,0,0,35,,3.3,House,$200k-$350k,cluster4,Two
92 Noble Ave,Crafton,PA,15205,"$219,500.00 ",,0,,1987,0,1,1,1,1,,,4.7,Apartment,$200k-$350k,cluster6,Three
3860 Henley Dr,Pittsburgh,PA,15235,"$219,500.00 ",,4,3,1964,1,1,1,0,1,53,,4.5,House,$200k-$350k,cluster2,Four
1212 Powers Run Rd,Pittsburgh,PA,15238,"$219,500.00 ","1,770",4,2,1965,1,1,1,0,1,52,$124.01 ,3.4,House,$200k-$350k,cluster2,Four
726 Freedom Dr,Carnegie,PA,15106,"$219,000.00 ",,3,3,1993,0,0,1,0,0,24,,3.3,House,$200k-$350k,cluster3,One
750 Freedom Dr,Carnegie,PA,15106,"$219,000.00 ","1,600",3,3,1950,0,1,0,0,0,67,$136.88 ,3.2,Condo,$200k-$350k,cluster3,One
189 Blue Grass Cir,Monroeville,PA,15146,"$219,000.00 ","1,784",3,3,1907,1,1,1,0,1,110,$122.76 ,4,For Sale by Owner,$200k-$350k,cluster2,Three
1251 Old Concord Rd,Monroeville,PA,15146,"$219,000.00 ",,4,3,1914,1,0,1,1,0,103,,0.2,House,$200k-$350k,cluster4,Two
Backbone Rd,Sewickley,PA,15143,"$219,000.00 ","1,598",2,2,1947,1,1,1,0,0,70,$137.05 ,1.5,Auction,$200k-$350k,cluster5,Four
33 Welsh Way,Pittsburgh,PA,15203,"$219,000.00 ","1,262",4,3,1925,0,0,0,0,0,92,$173.53 ,3.1,House,$200k-$350k,cluster3,One
1426 Columbus Ave,Pittsburgh,PA,15233,"$219,000.00 ","2,632",2,2,1928,1,0,1,1,0,89,$83.21 ,4.7,House,$200k-$350k,cluster4,Two
1426 Columbus St,Manchester,PA,15233,"$219,000.00 ","2,632",2,2,1950,0,0,1,0,1,,$83.21 ,3.2,Apartment,$200k-$350k,cluster6,Three
51 Ridgeland Dr,Pittsburgh,PA,15238,"$218,900.00 ","1,788",4,2,1910,1,1,0,0,1,107,$122.43 ,4.8,House,$200k-$350k,cluster2,Three
1912 Jane St. 2 # 2,South Side,PA,15203,"$218,000.00 ",,2,2,1957,1,1,0,1,1,,,3.2,Condo,$200k-$350k,cluster2,Three
121 Gass Rd,Pittsburgh,PA,15229,"$218,000.00 ","2,545",4,2,1946,0,0,1,1,1,71,$85.66 ,3.6,Foreclosure,$200k-$350k,cluster6,Three
1433 Hillsdale Ave,Pittsburgh,PA,15216,"$217,500.00 ",,5,4,1959,1,0,0,0,0,58,,3.7,House,$200k-$350k,cluster3,One
4523 Bucktail Dr,Allison Park,PA,15101,"$215,000.00 ","1,292",2,3,1982,1,0,0,0,1,35,$166.41 ,4.6,Townhouse,$200k-$350k,cluster2,Four
3580 Falmouth Dr,Library,PA,15129,"$215,000.00 ","1,292",4,2,1925,0,0,0,0,0,92,$166.41 ,3.7,House,$200k-$350k,cluster3,One
201 Grant St Apt 601,Sewickley,PA,15143,"$215,000.00 ",,1,2,1943,0,0,0,0,0,74,,0.7,Co-op For Sale,$200k-$350k,cluster3,One
634 Arlington Ave,Pittsburgh,PA,15203,"$215,000.00 ",,0,,1997,1,1,0,0,1,20,,4,Apartment,$200k-$350k,cluster2,Three
98 S 15Th St,Pittsburgh,PA,15203,"$215,000.00 ",,0,,1915,0,1,0,0,0,102,,4.8,Apartment,$200k-$350k,cluster3,One
150 Reed Dr,Pittsburgh,PA,15205,"$215,000.00 ","1,178",4,2,1929,0,0,0,0,0,88,$182.51 ,3.2,House,$200k-$350k,cluster3,One
128 Tuscola St,Pittsburgh,PA,15211,"$215,000.00 ",,3,2,1960,1,1,1,0,0,57,,1.4,House,$200k-$350k,cluster2,Three
25 Kohlmeyers Ln,Pittsburgh,PA,15211,"$215,000.00 ",,2,1,1901,1,0,1,1,0,116,,3.5,House,$200k-$350k,cluster4,Two
21 Kohlmeyers Ln,Pittsburgh,PA,15211,"$215,000.00 ","1,576",3,2,1950,0,0,0,1,1,67,$136.42 ,1.3,House,$200k-$350k,cluster6,Three
3728 Wapello St,Pittsburgh,PA,15212,"$215,000.00 ",,3,2,1952,1,0,0,0,0,65,,0.9,House,$200k-$350k,cluster3,One
513 Brookdale Dr,Pittsburgh,PA,15215,"$215,000.00 ",,3,2,1934,1,1,1,1,0,83,,3.4,House,$200k-$350k,cluster4,Two
1292 Earlford Dr,Pittsburgh,PA,15227,"$215,000.00 ",,4,3,1992,0,1,1,0,1,25,,1.8,House,$200k-$350k,cluster2,Three
3254 Broadway Ave,Pittsburgh,PA,15234,"$215,000.00 ","18,900",3,3,1969,1,0,1,0,1,48,$11.38 ,3.9,House,$200k-$350k,cluster6,Three
5300 Brownsville Rd,Pittsburgh,PA,15236,"$215,000.00 ","2,356",4,3,1981,0,0,0,1,1,36,$91.26 ,4.9,Foreclosure,$200k-$350k,cluster6,Three
177 Mcintyre Rd,Pittsburgh,PA,15237,"$215,000.00 ",,4,4,1997,1,1,0,1,1,20,,5,House,$200k-$350k,cluster2,Four
414 Hunter Dr,Pittsburgh,PA,15237,"$215,000.00 ","1,152",4,2,1911,1,1,0,1,0,106,$186.63 ,4.2,House,$200k-$350k,cluster1,Three
663 Center Rd,Pittsburgh,PA,15239,"$215,000.00 ",,3,3,1934,1,0,0,1,0,83,,3.9,House,$200k-$350k,cluster4,Two
2309 Lambeth Dr,Pittsburgh,PA,15241,"$215,000.00 ","1,232",3,1,1923,0,1,0,0,0,94,$174.51 ,4.1,House,$200k-$350k,cluster3,One
1379 Sylvandell Dr,Pittsburgh,PA,15243,"$215,000.00 ","1,170",3,2,1918,0,0,0,1,1,99,$183.76 ,2.1,House,$200k-$350k,cluster6,Three
1379 Sylvandell Dr,Pittsburgh,PA,15243,"$215,000.00 ","1,170",3,2,1965,1,1,1,0,1,52,$183.76 ,4.3,House,$200k-$350k,cluster2,Four
2104 Middle Rd,Glenshaw,PA,15116,"$214,999.00 ",,3,3,1932,1,0,1,1,1,85,,4.2,House,$200k-$350k,cluster6,Three
101 Sita Ct,Carnegie,PA,15106,"$214,900.00 ",,3,2,1991,1,1,0,1,0,26,,3.4,House,$200k-$350k,cluster1,Three
3 Sylvan Ave,Carnegie,PA,15106,"$214,900.00 ",,3,2,1900,0,0,1,0,0,117,,2.2,House,$200k-$350k,cluster3,One
243 Grace Manor Dr,Coraopolis,PA,15108,"$214,900.00 ",,3,3,1996,0,0,1,0,0,21,,3.5,Townhouse,$200k-$350k,cluster3,One
2212 Reiman St,White Oak,PA,15131,"$214,900.00 ","2,035",3,3,1997,0,0,1,1,0,20,$105.60 ,3.7,Foreclosure,$200k-$350k,cluster4,Two
1479 Judy Ln,Monroeville,PA,15146,"$214,900.00 ",,4,4,1902,0,1,0,1,0,115,,4.5,House,$200k-$350k,cluster1,Three
130 S 22Nd St Apt 1C,Pittsburgh,PA,15203,"$214,900.00 ","1,130",2,1,1927,0,0,0,0,0,90,$190.18 ,3.7,Condo,$200k-$350k,cluster3,One
14 Pius St,Pittsburgh,PA,15203,"$214,900.00 ",,2,2,1975,0,1,0,0,0,42,,4.2,House,$200k-$350k,cluster3,One
206 Waldorf St,Pittsburgh,PA,15214,"$214,900.00 ","1,884",3,2,1939,1,0,0,1,0,78,$114.07 ,2.6,House,$200k-$350k,cluster4,Two
104 Braun St,Pittsburgh,PA,15223,"$214,900.00 ",,4,3,1984,1,0,1,1,1,33,,3.6,House,$200k-$350k,cluster6,Three
751 Berkshire Ave,Pittsburgh,PA,15226,"$214,900.00 ",,4,3,1941,0,0,0,1,0,76,,3.8,House,$200k-$350k,cluster1,Three
108 Lorraine Dr,Pittsburgh,PA,15227,"$214,900.00 ","1,890",4,2,1986,1,1,0,1,0,31,$113.70 ,3.1,House,$200k-$350k,cluster1,Three
310 Bower Hill Rd,Pittsburgh,PA,15228,"$214,900.00 ","2,383",4,3,1948,1,1,1,0,1,69,$90.18 ,0.2,House,$200k-$350k,cluster2,Three
215 Birch Ave,Pittsburgh,PA,15228,"$214,900.00 ","1,446",3,1,1943,1,1,0,1,1,74,$148.62 ,3.5,House,$200k-$350k,cluster2,Three
1017 Broughton,South Park,PA,15236,"$214,900.00 ",,4,3,1902,1,1,1,1,0,,,1.2,House,$200k-$350k,cluster4,Two
W Carter Dr,North Versailles,PA,15137,"$214,000.00 ","1,823",3,1,1902,1,0,0,1,1,115,$117.39 ,3.5,Auction,$200k-$350k,cluster5,Five
Mcfarland Rd,Pittsburgh,PA,15216,"$214,000.00 ","1,572",4,2,1993,1,1,1,1,1,24,$136.13 ,1.2,Auction,$200k-$350k,cluster5,Five
3525 Ridgewood Dr,Pittsburgh,PA,15235,"$213,831.00 ",,4,3,2006,1,0,0,1,0,11,,3.1,House,$200k-$350k,cluster4,Two
Summit St,Bethel Park,PA,15102,"$213,000.00 ","2,541",2,3,1953,0,1,0,1,1,64,$83.83 ,3.1,Auction,$200k-$350k,cluster5,Five
24 Kohleen Dr,Mc Kees Rocks,PA,15136,"$213,000.00 ","1,800",3,2,1919,1,0,0,0,0,98,$118.33 ,4.6,House,$200k-$350k,cluster3,One
S Trenton Ave,Pittsburgh,PA,15221,"$213,000.00 ","2,884",3,3,1977,0,1,0,0,0,40,$73.86 ,4.8,Auction,$200k-$350k,cluster5,Five
405 Shelbourne Dr,Pittsburgh,PA,15239,"$213,000.00 ",,4,3,1909,1,1,1,0,1,108,,3.7,Foreclosure,$200k-$350k,cluster2,Three
5887 Irishtown Rd,Bethel Park,PA,15102,"$212,000.00 ",,4,2,1971,1,1,1,0,0,46,,4.3,House,$200k-$350k,cluster2,Four
1009 Brian Ct,Monroeville,PA,15146,"$212,000.00 ",,3,3,2003,1,0,0,0,0,14,,0.4,House,$200k-$350k,cluster3,One
158 Penn Lear Dr,Monroeville,PA,15146,"$212,000.00 ",,4,3,1958,0,0,0,1,1,59,,4,House,$200k-$350k,cluster6,Three
Tyndall St,Pittsburgh,PA,15204,"$212,000.00 ","6,751",4,3,2007,0,1,0,1,0,10,$31.40 ,0.8,Auction,$200k-$350k,cluster1,Three
206 Goldsmith Rd,Pittsburgh,PA,15237,"$211,900.00 ",,3,2,1942,1,1,1,0,1,75,,3.8,House,$200k-$350k,cluster2,Four
112 Winchester Dr,Plum,PA,15239,"$211,900.00 ",,3,2,1978,1,1,0,0,1,,,3.8,House,$200k-$350k,cluster2,Three
Parkview Ave,Pittsburgh,PA,15213,"$211,000.00 ","1,628",3,2,2002,0,0,1,0,0,15,$129.61 ,3.8,Auction,$200k-$350k,cluster5,Five
Forest Glen Dr,Imperial,PA,15126,"$210,000.00 ","1,902",3,3,1977,1,1,0,0,1,40,$110.41 ,3.1,Auction,$200k-$350k,cluster5,Five
5905 Hart St,Mckeesport,PA,15135,"$210,000.00 ","2,400",2,2,1965,1,0,1,0,0,52,$87.50 ,3.1,House,$200k-$350k,cluster4,Three
34 Truman Cir,Mc Kees Rocks,PA,15136,"$210,000.00 ","1,340",3,3,1994,0,1,1,0,1,23,$156.72 ,0.1,Townhouse,$200k-$350k,cluster2,Four
Bradshaw Dr,Sewickley,PA,15143,"$210,000.00 ","1,808",3,2,1933,0,1,0,0,0,84,$116.15 ,4.9,Auction,$200k-$350k,cluster5,Five
116 Shady Lake Dr,Sewickley,PA,15143,"$210,000.00 ",,3,3,1918,1,1,0,0,0,99,,4.3,Townhouse,$200k-$350k,cluster2,Three
401 Sewickley Heights Dr,Sewickley,PA,15143,"$210,000.00 ","1,924",3,3,1919,1,1,1,0,1,98,$109.15 ,4.7,House,$200k-$350k,cluster2,Four
1172 Mccabe St,Pittsburgh,PA,15201,"$210,000.00 ",,4,2,1951,1,0,1,0,1,66,,1.4,House,$200k-$350k,cluster6,Three
Sterrett St,Pittsburgh,PA,15205,"$210,000.00 ","5,084",4,4,1920,0,1,1,1,0,97,$41.31 ,1.6,Auction,$200k-$350k,cluster5,Five
3315 Cargill St,Pittsburgh,PA,15219,"$210,000.00 ","1,561",2,2,1984,1,0,0,1,0,33,$134.53 ,2.1,House,$200k-$350k,cluster4,Two
Adelaide St,Pittsburgh,PA,15219,"$210,000.00 ","2,239",4,2,2008,0,1,1,1,0,9,$93.79 ,4.6,Auction,$200k-$350k,cluster5,Five
916 Gibson St,Pittsburgh,PA,15220,"$210,000.00 ",,0,,1930,0,1,1,0,0,87,,4.9,House,$200k-$350k,cluster3,One
637 Greenlee Rd,Pittsburgh,PA,15227,"$210,000.00 ","1,363",3,3,1922,0,1,0,0,1,95,$154.07 ,3,House,$200k-$350k,cluster2,Four
463 Haverhill Rd,Pittsburgh,PA,15228,"$210,000.00 ",,3,2,1929,0,0,0,1,0,88,,4.8,House,$200k-$350k,cluster1,Four
220 Thornberry Dr,Pittsburgh,PA,15235,"$210,000.00 ","2,440",5,3,2012,0,0,1,1,0,5,$86.07 ,3.9,House,$200k-$350k,cluster4,Two
25 Elm Dr,Pittsburgh,PA,15238,"$210,000.00 ",,,,1969,0,0,0,1,1,48,,0.6,Lot/Land,$200k-$350k,cluster6,Three
3150 Leechburg Rd,Pittsburgh,PA,15239,"$210,000.00 ",,0,,1986,0,1,1,1,1,31,,3.5,House,$200k-$350k,cluster6,Three
425 Forest Estates Dr,Upper St Clair,PA,15241,"$210,000.00 ",,,,1902,1,0,0,0,0,,,3.4,Lot/Land,$200k-$350k,cluster3,One
616 Fort Couch Rd,Pittsburgh,PA,15241,"$210,000.00 ",,4,3,1950,1,0,0,1,1,67,,4.8,House,$200k-$350k,cluster6,Three
100 Arbor Trails Dr # Cd9I98,Mc Kees Rocks,PA,15136,"$209,990.00 ","1,642",3,3,2000,1,1,0,1,1,17,$127.89 ,3.6,New Construction,$200k-$350k,cluster2,Three
3514 Forest Rd,Bethel Park,PA,15102,"$209,900.00 ",,3,2,1921,0,1,1,0,1,96,,3.8,House,$200k-$350k,cluster2,Four
5981 Murdock Ave,Bethel Park,PA,15102,"$209,900.00 ",,4,3,1911,1,0,1,0,0,106,,3.7,House,$200k-$350k,cluster4,Two
5017 Silent Meadow Ct,Glenshaw,PA,15116,"$209,900.00 ",,,,1957,0,1,0,0,0,60,,3.5,Lot/Land,$200k-$350k,cluster3,Two
1507 Harding Ave,Library,PA,15129,"$209,900.00 ","1,768",4,3,1937,0,0,0,1,1,80,$118.72 ,4.2,House,$200k-$350k,cluster6,Three
898 Cherry St,Pittsburgh,PA,15205,"$209,900.00 ",,4,4,1955,1,0,1,1,0,62,,3.2,House,$200k-$350k,cluster4,Two
352 Hawthorne Rd,Pittsburgh,PA,15209,"$209,900.00 ",,3,3,1986,1,0,1,1,0,31,,4.6,House,$200k-$350k,cluster4,Two
2930 Glenmore Ave,Pittsburgh,PA,15216,"$209,900.00 ","2,391",4,2,1985,1,0,0,1,1,32,$87.79 ,4.6,House,$200k-$350k,cluster6,Four
996 Peermont Ave,Pittsburgh,PA,15216,"$209,900.00 ",,3,2,1986,0,1,1,1,1,31,,3.2,House,$200k-$350k,cluster6,Three
17 Sherwood Rd,Pittsburgh,PA,15221,"$209,900.00 ","2,740",5,3,1946,0,1,0,1,1,71,$76.61 ,3.8,House,$200k-$350k,cluster1,Four
307 Edgewood Rd,Pittsburgh,PA,15221,"$209,900.00 ",,3,2,1918,1,1,1,0,1,99,,4.3,House,$200k-$350k,cluster2,Three
162 Aidan Ct,Pittsburgh,PA,15226,"$209,900.00 ","1,640",3,3,1932,1,0,0,0,0,85,$127.99 ,3.4,House,$200k-$350k,cluster3,One
4728 Old Boston Rd,Pittsburgh,PA,15227,"$209,900.00 ","1,211",3,3,1931,0,1,0,1,0,86,$173.33 ,3.7,House,$200k-$350k,cluster1,Four
3306 Scathelocke Dr,Pittsburgh,PA,15235,"$209,900.00 ","2,295",4,3,1999,0,1,1,1,1,18,$91.46 ,0.2,House,$200k-$350k,cluster6,Three
1439 Jefferson Heights Rd,Pittsburgh,PA,15235,"$209,900.00 ",,4,3,1930,0,1,0,0,0,87,,1.6,House,$200k-$350k,cluster3,One
5263 Meadowgreen Dr,Pittsburgh,PA,15236,"$209,900.00 ","1,569",3,2,1938,0,1,1,1,1,79,$133.78 ,4.2,House,$200k-$350k,cluster6,Three
6517 Zupancic Dr,Pittsburgh,PA,15236,"$209,900.00 ",,3,3,1989,1,1,0,0,0,28,,3.7,House,$200k-$350k,cluster2,Four
1575 Pineview Dr,Upper St Clair,PA,15241,"$209,900.00 ",,2,3,1910,1,0,1,1,1,,,3.3,Condo,$200k-$350k,cluster6,Three
1516 Worcester Dr,Pittsburgh,PA,15243,"$209,900.00 ","1,500",4,3,1906,0,1,1,1,0,111,$139.93 ,2.7,House,$200k-$350k,cluster1,Three
1335 Cardinal Dr,Pittsburgh,PA,15243,"$209,900.00 ",,3,2,1933,1,0,0,1,0,84,,2,House,$200k-$350k,cluster4,Two
2992 Derbyshire Dr,South Park,PA,15129,"$209,500.00 ","2,000",4,3,1908,1,1,0,0,0,109,$104.75 ,2.9,House,$200k-$350k,cluster2,Three
Forest Rd,Bethel Park,PA,15102,"$209,000.00 ","1,846",4,3,1937,0,1,1,0,0,80,$113.22 ,1.4,Auction,$200k-$350k,cluster5,Four
208 Sycamore Dr,Coraopolis,PA,15108,"$209,000.00 ",,0,,1902,1,1,1,1,1,115,,4.7,House,$200k-$350k,cluster6,Three
72 Linden Pl Apt 22,Sewickley,PA,15143,"$209,000.00 ","1,200",2,2,1978,0,0,0,0,0,39,$174.17 ,3.6,For Sale by Owner,$200k-$350k,cluster3,Two
Collins Ave,Pittsburgh,PA,15206,"$209,000.00 ","2,191",5,3,1994,1,0,1,0,0,23,$95.39 ,1.2,Auction,$200k-$350k,cluster5,Five
5542 Pocusset St,Pittsburgh,PA,15217,"$209,000.00 ","1,125",0,,1971,1,0,0,0,0,46,$185.78 ,4.9,Foreclosure,$200k-$350k,cluster3,One
354 Tara Dr,Pittsburgh,PA,15236,"$209,000.00 ","1,272",4,3,1949,0,1,0,1,0,68,$164.31 ,3.5,House,$200k-$350k,cluster1,Four
Sharbot Dr,Pittsburgh,PA,15237,"$209,000.00 ","1,998",3,2,1989,1,1,0,1,0,28,$104.60 ,4.7,Auction,$200k-$350k,cluster5,Five
143 Grienbrier Dr,Carnegie,PA,15106,"$208,000.00 ",,3,3,1913,0,1,0,0,1,104,,2.1,House,$200k-$350k,cluster2,Four
Columbo St,Pittsburgh,PA,15206,"$208,000.00 ","2,607",4,4,1957,1,0,1,1,0,60,$79.79 ,3.2,Auction,$200k-$350k,cluster4,Two
9810 Three Degree Rd,Allison Park,PA,15101,"$207,500.00 ",,3,2,1940,0,0,1,0,0,77,,3.2,House,$200k-$350k,cluster3,One
222 Oakview Ave,Pittsburgh,PA,15218,"$207,500.00 ","1,650",3,1,1993,0,1,1,1,1,24,$125.76 ,4.3,House,$200k-$350k,cluster6,Three
2509 Bethel Church Rd,Bethel Park,PA,15102,"$207,000.00 ","1,938",4,3,1903,1,0,0,1,1,114,$106.81 ,1.5,Foreclosure,$200k-$350k,cluster6,Three
136 Lansdowne Dr,Coraopolis,PA,15108,"$206,000.00 ","1,792",4,3,1967,1,1,0,0,1,50,$114.96 ,4.7,Auction,$200k-$350k,cluster2,Four
Lansdowne Dr,Coraopolis,PA,15108,"$206,000.00 ","1,792",4,3,1961,0,0,0,1,0,56,$114.96 ,3.6,Auction,$200k-$350k,cluster5,Five
844 Fairways Dr,Oakmont,PA,15139,"$206,000.00 ","1,768",3,3,1995,0,1,1,0,0,22,$116.52 ,4,Foreclosure,$200k-$350k,cluster3,One
E Lawnview Ave,Pittsburgh,PA,15227,"$206,000.00 ","2,919",4,2,1981,1,1,0,0,1,36,$70.57 ,3.7,Auction,$200k-$350k,cluster5,Four
5417 Bossart St,Pittsburgh,PA,15206,"$205,500.00 ",,0,,1959,1,1,0,0,1,58,,1,Apartment,$200k-$350k,cluster2,Three
103 Sita Ct,Carnegie,PA,15106,"$205,000.00 ","1,224",3,2,1907,0,1,0,0,0,110,$167.48 ,3.9,Townhouse,$200k-$350k,cluster3,One
