address,city,state,zip, price , sqft ,bedrooms,bathrooms,property age,age in years,parking,heating,basement,attic,green_bldg, price_per_sqft ,seller_rating,sale_type,price_range,cluster,property_score
5 Little Sewickley Creek Rd,Sewickley,PA,15143," $465,000 ",,3,3,1970,47,0,0,0,0,1,,4.8,House For Sale,$350k-$500k,cluster3,1.7
2238 Mcaleer Rd,Sewickley,PA,15143," $464,900 ",,3,3,1953,64,1,0,1,0,1,,1,House For Sale,$350k-$500k,cluster6,3.9
509 N Saint Clair St,Pittsburgh,PA,15206," $464,000 ",,3,3,1959,58,1,0,0,1,1,,3.3,New Construction,$350k-$500k,cluster6,3.6
217 Cornwall Dr,Pittsburgh,PA,15238," $460,000 ",,4,4,1955,62,1,1,0,1,1,,4.3,House For Sale,$350k-$500k,cluster2,4.2
1222 Driftwood Dr,Pittsburgh,PA,15243," $460,000 "," 2,357 ",4,3,1985,32,1,1,0,1,0, $195.16 ,3.6,Coming Soon,$350k-$500k,cluster1,4
916 Wade Ln,Oakmont,PA,15139," $459,900 ",,4,4,1902,115,0,0,1,1,0,,3.3,House For Sale,$350k-$500k,cluster4,2.8
1660 Murray Avenue 35 # 35,Squirrel Hill,PA,15217," $459,900 ",,2,2,1949,,0,1,1,0,1,,1.4,Condo For Sale,$350k-$500k,cluster2,4.5
266 Buckingham Dr,Pittsburgh,PA,15237," $459,900 ",,4,3,2005,12,1,1,1,0,0,,3.4,House For Sale,$350k-$500k,cluster2,4.4
2627 Quail Hill Dr,Pittsburgh,PA,15241," $459,900 "," 2,430 ",3,4,1942,75,0,0,0,0,1, $189.26 ,4.7,House For Sale,$350k-$500k,cluster3,1.7
4172 La Tache Ct,Allison Park,PA,15101," $459,000 "," 2,200 ",3,3,1900,117,1,0,0,0,0, $208.64 ,4.8,For Sale by Owner,$350k-$500k,cluster3,1.6
452 Center Oak Dr,Pittsburgh,PA,15237," $459,000 "," 2,018 ",3,4,1963,54,1,1,1,0,1, $227.45 ,3.2,House For Sale,$350k-$500k,cluster2,3
1807 Oakhurst Ct,Allison Park,PA,15101," $458,500 "," 3,108 ",4,3,1947,70,0,1,0,1,0, $147.52 ,3.7,House For Sale,$350k-$500k,cluster1,3.9
4260 Duckhorn Dr,Coraopolis,PA,15108," $456,000 "," 3,032 ",4,3,1912,105,1,1,0,1,1, $150.40 ,3.5,House For Sale,$350k-$500k,cluster2,3.2
200 New England Pl,Sewickley,PA,15143," $455,000 ",,3,3,1924,93,1,0,1,0,0,,3.9,House For Sale,$350k-$500k,cluster4,2.8
124 Thousand Oaks Dr,Pittsburgh,PA,15241," $455,000 "," 2,714 ",4,4,1908,109,0,1,1,0,0, $167.65 ,0.2,House For Sale,$350k-$500k,cluster3,1.9
138 William Dr,Coraopolis,PA,15108," $454,900 ",,4,4,1950,67,1,1,1,1,1,,0.2,House For Sale,$350k-$500k,cluster6,3.3
33 Allegheny Avenue Lot # 115,Oakmont,PA,15139," $454,900 ",,4,4,1908,109,1,0,0,1,0,,4.2,House For Sale,$350k-$500k,cluster4,2.4
129 3rd St,Oakmont,PA,15139," $450,000 ",,3,3,1996,21,0,0,0,1,0,,3.2,House For Sale,$350k-$500k,cluster1,4
316 Beaver St APT 204,Sewickley,PA,15143," $450,000 ",,2,2,1982,35,1,1,0,1,0,,3.8,Condo For Sale,$350k-$500k,cluster1,3.1
116 Star Ct,Sewickley,PA,15143," $450,000 "," 2,891 ",4,4,1972,45,0,0,1,0,0, $155.66 ,3.2,Make Me Move®,$350k-$500k,cluster3,1.7
14 S 17th St,Pittsburgh,PA,15203," $450,000 "," 1,716 ",2,3,1950,67,0,0,1,1,0, $262.24 ,5,Townhouse For Sale,$350k-$500k,cluster4,2.3
7 Glennvue Dr,Pittsburgh,PA,15205," $450,000 ",,4,4,1904,113,0,0,0,0,0,,2.3,House For Sale,$350k-$500k,cluster3,2
582 S Aiken Ave,Pittsburgh,PA,15232," $450,000 ",,4,4,1952,65,1,1,1,0,1,,3.2,House For Sale,$350k-$500k,cluster2,4
5570 Centre Ave APT 503,Shadyside,PA,15232," $450,000 ",,2,2,1967,,1,1,1,0,1,,2.7,Condo For Sale,$350k-$500k,cluster2,3.6
1186 Snee Dr,Pittsburgh,PA,15236," $450,000 "," 2,732 ",4,4,1938,79,0,0,1,1,0, $164.71 ,3.5,House For Sale,$350k-$500k,cluster4,2.6
906 Red Oak Dr,Pittsburgh,PA,15238," $450,000 ",,2,2,1909,108,0,0,1,1,0,,1.9,House For Sale,$350k-$500k,cluster4,2.5
110 Bristol Sq,Pittsburgh,PA,15238," $450,000 "," 3,138 ",3,4,1909,108,1,0,1,1,1, $143.40 ,4.8,House For Sale,$350k-$500k,cluster6,3.5
203 Ohara Manor Dr,Pittsburgh,PA,15238," $450,000 ",,4,3,1927,90,0,0,1,1,1,,3.5,House For Sale,$350k-$500k,cluster6,3.5
3 Winthrop Rd,Carnegie,PA,15106," $449,900 ",,4,6,1947,70,1,0,1,1,1,,3.8,House For Sale,$350k-$500k,cluster6,3.1
518 Washington Ave,Carnegie,PA,15106," $449,900 ",,0,,1925,92,0,0,0,1,0,,1,Apartment For Sale,$350k-$500k,cluster1,3.4
5047 Stags Leap Ln,Coraopolis,PA,15108," $449,900 ",,3,4,2005,12,0,0,1,1,0,,4.3,House For Sale,$350k-$500k,cluster4,2.6
2265 Greenock Buena Vista Rd,Mckeesport,PA,15135," $449,900 ",,4,5,1969,48,0,1,1,0,0,,3.4,House For Sale,$350k-$500k,cluster3,2
547 11th St,Oakmont,PA,15139," $449,900 "," 2,854 ",5,3,1991,26,1,1,1,0,0, $157.64 ,4.5,House For Sale,$350k-$500k,cluster2,3.5
228 Chestnut St,Sewickley,PA,15143," $449,900 ",,4,4,2004,13,1,1,0,1,0,,3.3,House For Sale,$350k-$500k,cluster1,3.2
230 N Fairmount St,Pittsburgh,PA,15206," $449,900 ",,0,,2010,7,0,0,0,1,0,,3.8,Apartment For Sale,$350k-$500k,cluster1,3.7
1544 King Albert Dr,Pittsburgh,PA,15237," $449,900 ",,4,3,1956,61,1,1,0,1,1,,4,House For Sale,$350k-$500k,cluster2,3.1
0 Hill-n-dale,Fox Chapel,PA,15238," $449,900 ",,,,2012,,1,1,1,1,0,,4.2,Lot/Land For Sale,$350k-$500k,cluster4,2.7
775 Pinetree Rd,Pittsburgh,PA,15243," $449,900 "," 3,488 ",5,5,1968,49,1,1,0,1,1, $128.99 ,3.7,House For Sale,$350k-$500k,cluster2,3.6
547 Hill St,Sewickley,PA,15143," $449,000 "," 2,700 ",4,3,1940,77,0,0,0,1,0, $166.30 ,4.3,House For Sale,$350k-$500k,cluster1,3.1
320 Woodland Rd,Sewickley,PA,15143," $449,000 ",,4,3,1976,41,1,1,1,0,0,,3.1,House For Sale,$350k-$500k,cluster2,3.6
5281 Holmes St # 2,Pittsburgh,PA,15201," $449,000 ",,3,2.5,1909,108,1,1,0,0,1,,4.2,New Construction,$350k-$500k,cluster2,4
5 Biddeford Rd,Pittsburgh,PA,15202," $449,000 ",,4,3,1982,35,0,1,1,0,0,,3.7,House For Sale,$350k-$500k,cluster3,2
1121 Mellon St,Pittsburgh,PA,15206," $449,000 "," 2,806 ",5,3,1934,83,1,0,0,1,1, $160.01 ,3,House For Sale,$350k-$500k,cluster6,3.8
5817 Wellesley Ave,Pittsburgh,PA,15206," $449,000 "," 2,000 ",3,3,1919,98,1,1,0,0,0, $224.50 ,4.5,New Construction,$350k-$500k,cluster2,3
6113 Jackson St,Pittsburgh,PA,15206," $449,000 ",,5,4,1917,100,0,0,0,0,1,,3.2,House For Sale,$350k-$500k,cluster3,1.6
511 N Saint Clair St,East Liberty,PA,15206," $449,000 ",,2,3,1997,,0,1,0,0,0,,2.2,New Construction,$350k-$500k,cluster3,2
One Trimont Lane 620b # 620B,Mt Washington,PA,15211," $449,000 ",,2,2,1993,,0,1,0,1,0,,3.8,Condo For Sale,$350k-$500k,cluster1,3
Belgreen Pl,Oakland,PA,15213," $449,000 ",,,,1925,,1,1,1,0,0,,3.6,Apartment For Sale,$350k-$500k,cluster5,4.6
217 Orr Rd,Pittsburgh,PA,15241," $449,000 "," 2,750 ",3,4,1981,36,1,1,0,0,0, $163.27 ,0.7,House For Sale,$350k-$500k,cluster2,3
708 Pinoak Rd,Pittsburgh,PA,15243," $449,000 ",,4,3,1951,66,1,0,1,1,0,,4.8,House For Sale,$350k-$500k,cluster4,3
3618 Smallman,Lawrenceville,PA,15201," $445,000 ",,3,2,1906,,0,0,0,1,0,,4.5,House For Sale,$350k-$500k,cluster1,3.6
2132 Sarah St # 102,Pittsburgh,PA,15203," $445,000 ",,2,3,1995,22,1,1,1,1,0,,0.9,Condo For Sale,$350k-$500k,cluster4,2
128 Vernon Dr,Pittsburgh,PA,15228," $445,000 ",,4,3,2009,8,0,0,0,1,1,,4,House For Sale,$350k-$500k,cluster6,3.8
177 Topsfield Rd,Pittsburgh,PA,15241," $445,000 ",,4,3,1995,22,1,0,0,0,0,,3.6,House For Sale,$350k-$500k,cluster3,1.8
Oakview Dr,Pittsburgh,PA,15237," $443,000 "," 3,306 ",4,3.5,1989,28,1,0,1,1,1, $134.00 ,1.1,Pre-Foreclosure (Auction),$350k-$500k,cluster5,4.5
120 Saint Charles Ct,Blawnox,PA,15238," $442,000 ",,3,4,1995,,1,1,0,0,1,,3.3,House For Sale,$350k-$500k,cluster2,3.7
6 Willow Farms Ln,Pittsburgh,PA,15238," $442,000 ",,,,1937,80,0,1,0,1,1,,3.5,Lot/Land For Sale,$350k-$500k,cluster1,3.3
277 Palomino Dr,Bethel Park,PA,15102," $440,900 ",,4,3,1950,67,0,1,1,1,1,,5,House For Sale,$350k-$500k,cluster6,3.7
1110 Frick Ln,Pittsburgh,PA,15217," $440,000 ",,2,3,1928,89,0,1,0,1,0,,0.1,House For Sale,$350k-$500k,cluster1,4.2
1700 Universal Rd,Penn Hills,PA,15235," $440,000 "," 19,000 ",0,,1996,,0,1,0,0,1, $23.16 ,3.4,House For Sale,$350k-$500k,cluster2,3.6
873 Old Hickory Rd,Pittsburgh,PA,15243," $440,000 ",,4,4,1998,19,1,1,1,1,1,,4,House For Sale,$350k-$500k,cluster6,3.5
281 Palomino Dr,Bethel Park,PA,15102," $439,900 ",,4,3,1920,97,0,1,0,1,1,,4.5,House For Sale,$350k-$500k,cluster1,3.6
1803 Barley Ct,Moon Township,PA,15108," $439,900 ",,4,4,1992,25,1,1,0,0,1,,3.4,House For Sale,$350k-$500k,cluster2,3.5
4219 Murray Ave,Pittsburgh,PA,15217," $439,900 ",,0,,1915,102,1,1,0,0,0,,4.1,Condo For Sale,$350k-$500k,cluster2,3.3
313 Buckingham Dr,Pittsburgh,PA,15237," $439,900 ",,4,3,1999,18,1,0,0,0,0,,1.1,House For Sale,$350k-$500k,cluster3,1.8
421 Chelsea Ct,Pittsburgh,PA,15241," $439,900 "," 3,000 ",5,5,1988,29,1,1,1,0,1, $146.63 ,3.1,House For Sale,$350k-$500k,cluster2,3.1
128 Pius St,Pittsburgh,PA,15203," $439,000 ",,4,3,1962,55,0,1,0,1,0,,3.9,House For Sale,$350k-$500k,cluster1,4.4
1327 Heberton St,Pittsburgh,PA,15206," $439,000 ",,3,3,1999,18,0,0,0,0,0,,3.6,House For Sale,$350k-$500k,cluster3,1.4
106 Emily Dr,Pittsburgh,PA,15215," $439,000 "," 3,108 ",4,4,1971,46,0,0,1,1,0, $141.25 ,1.9,House For Sale,$350k-$500k,cluster4,2.8
3207 Dobson,Lawrenceville,PA,15219," $439,000 ",,3,3,2001,,0,0,0,0,1,,2.7,House For Sale,$350k-$500k,cluster3,1.7
320 Fort Duquesne 9lm # 9LM,Downtown Pgh,PA,15222," $439,000 ",,3,3,1900,,0,0,0,1,0,,1.1,Condo For Sale,$350k-$500k,cluster1,3
225 Brookside Blvd,Pittsburgh,PA,15241," $439,000 "," 2,790 ",4,3,1995,22,0,0,1,1,0, $157.35 ,4.5,House For Sale,$350k-$500k,cluster4,2.7
Carriage Ct,Pittsburgh,PA,15238," $436,000 "," 3,484 ",4,3.5,1961,56,1,0,1,0,0, $125.14 ,5,Pre-Foreclosure (Auction),$350k-$500k,cluster5,4.8
160 Oak Meadow Dr,Oakmont,PA,15139," $435,000 ",,4,4,1912,105,1,1,1,1,0,,3.7,House For Sale,$350k-$500k,cluster4,2.6
2355 Holt St,Pittsburgh,PA,15203," $435,000 ",,3,3,1929,88,0,0,1,1,1,,1.1,Townhouse For Sale,$350k-$500k,cluster6,3.2
1 Trimont Lane 840c # 840C,Pittsburgh,PA,15211," $435,000 ",,2,2,1920,97,0,1,1,0,0,,4.2,Townhouse For Sale,$350k-$500k,cluster3,1.3
1 Trimont Ln APT 840C,Pittsburgh,PA,15211," $435,000 ",,2,2,1943,74,0,0,1,0,0,,4.4,Condo For Sale,$350k-$500k,cluster3,1.2
114 Saint Charles Ct,Pittsburgh,PA,15238," $435,000 ",,4,5,1951,66,0,0,0,0,1,,0.9,Townhouse For Sale,$350k-$500k,cluster3,1.3
240 Cornwall Dr,Pittsburgh,PA,15238," $435,000 "," 2,500 ",4,4,1923,94,1,1,1,1,1, $174.00 ,3,House For Sale,$350k-$500k,cluster6,3.6
6609 Landview Rd,Pittsburgh,PA,15217," $433,000 ",,3,5,1915,102,1,1,1,0,0,,3.9,House For Sale,$350k-$500k,cluster2,3.5
5833 Forbes Ave,Pittsburgh,PA,15217," $432,000 ",,0,,1901,116,1,0,1,1,0,,4.1,House For Sale,$350k-$500k,cluster4,2.1
Eileen Dr,Observatory,PA,15214," $431,000 ", 959 ,2,1,1932,,1,0,0,0,0, $449.43 ,5,Pre-Foreclosure (Auction),$350k-$500k,cluster5,4.6
1491 Jameson Ct,Allison Park,PA,15101," $430,000 ",,4,3,1956,61,1,1,1,0,0,,3.1,House For Sale,$350k-$500k,cluster2,4.4
1 Trimont Ln APT 540C,Pittsburgh,PA,15211," $430,000 "," 1,786 ",2,2,1959,58,1,1,0,1,1, $240.76 ,2.1,Condo For Sale,$350k-$500k,cluster2,4
1 Trimont Lane 540 C # 540 C,Pittsburgh,PA,15211," $430,000 ",,2,2,2008,9,1,0,0,0,1,,4.8,Townhouse For Sale,$350k-$500k,cluster2,3.2
4700 Ellsworth Ave 7 # 7,Shadyside,PA,15213," $430,000 ",,2,3,1924,,0,0,0,0,1,,3,House For Sale,$350k-$500k,cluster3,1.5
4035 Liberty Avenue 340 # 340,Pittsburgh,PA,15224," $430,000 ",,2,2,1948,69,1,0,1,1,0,,4.1,Townhouse For Sale,$350k-$500k,cluster4,2.8
4035 Liberty Ave # 340,Bloomfield,PA,15224," $430,000 ",,2,2,1995,,1,1,1,1,1,,1.6,Condo For Sale,$350k-$500k,cluster6,3.6
210 Kensington Court 210 # 210,O_Hara,PA,15238," $430,000 ",,3,5,1975,,0,1,1,0,0,,3.1,House For Sale,$350k-$500k,cluster3,1.7
1010 Waverly Ct,Mc Kees Rocks,PA,15136," $429,900 "," 2,807 ",4,3,2002,15,1,1,1,1,0, $153.15 ,3.8,House For Sale,$350k-$500k,cluster4,2.6
150 Labelle St,Mt Washington,PA,15211," $429,900 ",,3,4,1921,,0,1,0,1,1,,3.6,House For Sale,$350k-$500k,cluster1,3.2
1640 Pin Oak Dr,Pittsburgh,PA,15237," $429,900 ",,4,3,1906,111,0,1,0,0,1,,4.1,House For Sale,$350k-$500k,cluster2,3.3
1650 Pinetree Dr,Pittsburgh,PA,15241," $429,900 ",,4,3,1990,27,1,1,1,1,1,,4.2,House For Sale,$350k-$500k,cluster6,3
463 Willow Dr,Pittsburgh,PA,15243," $429,900 "," 1,718 ",4,3,1998,19,0,1,0,0,0, $250.23 ,4.3,House For Sale,$350k-$500k,cluster3,1.7
150-152 Pius St,South Side,PA,15203," $429,000 ",,0,,1954,,1,1,0,0,0,,3.7,Apartment For Sale,$350k-$500k,cluster2,4.5
2503 Adele Ct,Sewickley,PA,15143," $428,213 "," 3,343 ",3,3,1954,63,0,1,0,0,0, $128.09 ,3.7,New Construction,$350k-$500k,cluster3,2
122 Bel Aire Dr,Monroeville,PA,15146," $427,900 "," 3,160 ",4,4,1956,61,0,1,1,1,1, $135.41 ,3.9,House For Sale,$350k-$500k,cluster6,4
157 Urick Ln,Monroeville,PA,15146," $425,000 ",,4,3,1966,51,0,0,1,0,1,,3.1,House For Sale,$350k-$500k,cluster6,3.9
5085 Thoms Run Rd,Presto,PA,15142," $425,000 ",,3,2,1995,22,0,0,1,0,1,,4.6,Lot/Land For Sale,$350k-$500k,cluster6,3.2
224 Cypress Knoll Dr,Sewickley,PA,15143," $425,000 ",,3,4,1941,76,0,0,1,1,1,,3.2,Townhouse For Sale,$350k-$500k,cluster6,3.1
349 Backbone Rd,Sewickley,PA,15143," $425,000 "," 2,200 ",4,2,1938,79,0,0,0,0,1, $193.18 ,2.5,House For Sale,$350k-$500k,cluster3,1.5
930 Toms Run Rd,Sewickley,PA,15143," $425,000 ",,0,,1944,73,0,0,0,0,1,,3.1,House For Sale,$350k-$500k,cluster3,1.9
1480 Beaver St,Sewickley,PA,15143," $425,000 ",,4,3,2007,10,0,0,1,0,1,,4.3,House For Sale,$350k-$500k,cluster6,3.7
184 Home St,Pittsburgh,PA,15201," $425,000 ",,4,2,1944,73,0,0,1,0,1,,4.9,House For Sale,$350k-$500k,cluster6,3.3
5145 Butler St,Pittsburgh,PA,15201," $425,000 ",,0,,1962,55,1,1,1,1,0,,4.6,House For Sale,$350k-$500k,cluster4,2
2132 Sarah St # 204,Pittsburgh,PA,15203," $425,000 ",,2,3,1965,52,1,0,0,0,1,,4.5,Condo For Sale,$350k-$500k,cluster2,4
118 2nd St,Aspinwall,PA,15215," $425,000 ",,5,3,1931,,0,1,1,1,0,,4.2,House For Sale,$350k-$500k,cluster1,3.1
301 5th Ave APT 509,Pittsburgh,PA,15222," $425,000 "," 1,054 ",1,1,2000,17,1,1,1,0,0, $403.23 ,3.6,Condo For Sale,$350k-$500k,cluster5,4.8
240 S Pacific Ave,Pittsburgh,PA,15224," $425,000 "," 2,976 ",4,2,1916,101,0,0,1,0,1, $142.81 ,3.8,Apartment For Sale,$350k-$500k,cluster6,3.2
5015 Penn Ave,Pittsburgh,PA,15224," $425,000 ",,0,,1917,100,1,1,0,1,0,,3.4,House For Sale,$350k-$500k,cluster1,4.3
4035 Liberty Avenue 320 # 320,Pittsburgh,PA,15224," $425,000 ",,2,2,1928,89,0,1,0,1,1,,4.3,Townhouse For Sale,$350k-$500k,cluster1,3
4035 Liberty Ave # 320,Bloomfield,PA,15224," $425,000 ",,2,2,2004,,1,0,0,1,0,,3.6,Condo For Sale,$350k-$500k,cluster4,2.5
N/a Haverford Dr,Fox Chapel,PA,15238," $425,000 ",,0,,1928,,1,0,1,0,1,,4.5,Lot/Land For Sale,$350k-$500k,cluster6,3.5
320 Johnston Rd,Pittsburgh,PA,15241," $425,000 "," 1,848 ",3,2,1914,103,1,1,1,1,1, $229.98 ,4,House For Sale,$350k-$500k,cluster6,3.8
1207 Driftwood Dr,Pittsburgh,PA,15243," $425,000 ",,4,4,1933,84,0,0,0,0,1,,4,House For Sale,$350k-$500k,cluster3,1.3
792 Scrubgrass Rd,Pittsburgh,PA,15243," $425,000 ",,4,4,1925,92,1,0,1,1,0,,1.1,House For Sale,$350k-$500k,cluster4,2.8
895 Graydon Dr,Pittsburgh,PA,15209," $424,900 "," 2,641 ",4,3,1934,83,0,1,1,1,1, $160.89 ,3.6,House For Sale,$350k-$500k,cluster6,3
4554 Friendship Ave,Pittsburgh,PA,15224," $424,900 ",,0,,1962,55,1,0,1,0,0,,4.7,Apartment For Sale,$350k-$500k,cluster4,2.9
166 Robinson Dr,Pittsburgh,PA,15236," $424,900 ",,4,4,2009,8,0,0,0,0,0,,4.2,House For Sale,$350k-$500k,cluster3,1
121 Cardinal Cir,Pittsburgh,PA,15237," $424,900 "," 3,500 ",4,4,1905,112,1,1,1,1,0, $121.40 ,3.1,House For Sale,$350k-$500k,cluster4,2.4
211 Woodland Farms Rd,Pittsburgh,PA,15238," $424,900 "," 3,120 ",5,4,1923,94,1,1,0,1,0, $136.19 ,1.5,House For Sale,$350k-$500k,cluster1,4.5
317 Hidden Falls Ct,Pittsburgh,PA,15238," $424,900 "," 3,102 ",3,3,1905,112,1,0,0,0,1, $136.98 ,4.3,Townhouse For Sale,$350k-$500k,cluster2,3.3
1646 Settlers Dr,Sewickley,PA,15143," $424,600 ",,4,3,1938,79,0,1,1,1,0,,1.9,House For Sale,$350k-$500k,cluster1,4.2
Middle Rd,Allison Park,PA,15101," $424,000 "," 2,632 ",5,2.5,1969,48,1,0,0,0,0, $161.09 ,4.2,Pre-Foreclosure (Auction),$350k-$500k,cluster5,4.7
Fort Pitt Blvd APT 801,Pittsburgh,PA,15222," $423,000 "," 1,668 ",3,2,1986,31,1,0,0,1,1, $253.60 ,3.4,Pre-Foreclosure (Auction),$350k-$500k,cluster5,4.8
282 Palomino Dr,Bethel Park,PA,15102," $422,500 ",,4,3,1938,79,0,1,1,0,1,,2.7,House For Sale,$350k-$500k,cluster2,3.7
101 George St,Turtle Creek,PA,15145," $422,400 "," 3,000 ",3,5,1984,33,0,0,1,0,0, $140.80 ,4.1,House For Sale,$350k-$500k,cluster3,1.3
Dailey Rd,Pittsburgh,PA,15227," $422,000 "," 1,460 ",3,1,1959,58,0,0,0,0,1, $289.04 ,4.4,Pre-Foreclosure (Auction),$350k-$500k,cluster5,5
4067 Jupiter Dr,Allison Park,PA,15101," $420,000 ",,4,5,1960,57,0,0,0,1,1,,1.2,House For Sale,$350k-$500k,cluster6,3.8
1303 Windermere Dr,Pittsburgh,PA,15218," $420,000 "," 1,945 ",4,3,1949,68,0,0,0,1,0, $215.94 ,3.5,House For Sale,$350k-$500k,cluster1,3.7
11 Patrice Ct,Pittsburgh,PA,15221," $420,000 ",,5,4,1945,72,0,0,0,0,0,,3.5,House For Sale,$350k-$500k,cluster3,1.6
111 Ashley Ct,Pittsburgh,PA,15221," $420,000 "," 3,641 ",4,4,1982,35,0,0,0,0,1, $115.35 ,2.4,House For Sale,$350k-$500k,cluster3,1.9
112 S Atlantic Ave,Pittsburgh,PA,15224," $420,000 "," 2,333 ",4,2,1929,88,1,0,1,0,0, $180.03 ,1.9,House For Sale,$350k-$500k,cluster4,2
2866 Tremonte Ln,Allison Park,PA,15101," $419,900 "," 2,800 ",4,3,1976,41,1,1,1,1,0, $149.96 ,3.1,House For Sale,$350k-$500k,cluster4,2.7
214 Buckingham Dr,Pittsburgh,PA,15237," $419,900 ",,4,3,1979,38,0,1,1,0,0,,1.9,House For Sale,$350k-$500k,cluster3,1.6
5056 Stags Leap Ln,Coraopolis,PA,15108," $419,888 "," 2,336 ",4,3,1938,79,1,0,0,0,0, $179.75 ,3.5,House For Sale,$350k-$500k,cluster3,1.6
135 Deer Valley Dr,Sewickley,PA,15143," $419,000 "," 2,648 ",4,4,2010,7,1,0,0,1,0, $158.23 ,2.5,House For Sale,$350k-$500k,cluster4,2.3
4245 Parkman Ave,Pittsburgh,PA,15213," $419,000 ",,5,3,2004,13,1,1,1,0,0,,1.5,House For Sale,$350k-$500k,cluster2,4.2
1st St,Pittsburgh,PA,15227," $419,000 "," 1,095 ",3,1,1974,43,0,1,1,1,1, $382.65 ,3.3,Pre-Foreclosure (Auction),$350k-$500k,cluster5,4.6
14 Lacebark Ct,Pittsburgh,PA,15239," $419,000 "," 3,326 ",4,3,1922,95,0,1,1,0,0, $125.98 ,3.6,House For Sale,$350k-$500k,cluster3,1.5
2538 Forest Brook Dr,Pittsburgh,PA,15241," $419,000 ",,4,4,2012,5,0,0,0,1,1,,4.2,House For Sale,$350k-$500k,cluster6,3.3
418 Beech Dr,Mc Kees Rocks,PA,15136," $417,300 "," 3,312 ",4,4,1974,43,0,1,0,0,0, $126.00 ,4.9,House For Sale,$350k-$500k,cluster3,1.8
182 Inglewood Dr,Pittsburgh,PA,15228," $417,000 ",,5,4,1941,76,1,1,1,1,0,,1.4,House For Sale,$350k-$500k,cluster4,2.8
9 Rodgers Dr,Pittsburgh,PA,15238," $417,000 ",,3,4,1900,117,0,1,1,1,1,,4.4,House For Sale,$350k-$500k,cluster6,3
Wilmar Dr,Pittsburgh,PA,15238," $416,000 "," 2,547 ",3,1.5,1978,39,0,0,0,1,0, $163.33 ,2.5,Pre-Foreclosure (Auction),$350k-$500k,cluster5,4.7
1104 De Victor Pl,Pittsburgh,PA,15206," $415,000 ",,4,3,1962,55,0,0,1,0,0,,4.4,House For Sale,$350k-$500k,cluster3,1
1449 Greystone Dr,Pittsburgh,PA,15206," $415,000 ",,4,4,1956,61,1,1,0,0,0,,2.2,House For Sale,$350k-$500k,cluster2,4
323 Hailman St,Pittsburgh,PA,15206," $415,000 "," 2,310 ",4,2,1966,51,0,0,0,0,1, $179.65 ,5,Apartment For Sale,$350k-$500k,cluster3,1.7
1 Trimont Lane 580e # 580E,Mt Washington,PA,15211," $415,000 ",,2,2,1924,,1,0,1,0,0,,3,Condo For Sale,$350k-$500k,cluster4,2.9
520 W Jefferson St,Pittsburgh,PA,15212," $415,000 "," 3,482 ",4,3,1972,45,0,1,0,0,1, $119.18 ,0.4,House For Sale,$350k-$500k,cluster2,3.5
320 Fort Duquesne Blvd APT 9K,Pittsburgh,PA,15222," $415,000 ",,1,2,1973,44,1,1,0,1,1,,4.1,Condo For Sale,$350k-$500k,cluster2,3.9
34 Hazel Dr,Pittsburgh,PA,15228," $415,000 ",,4,3,1934,83,0,1,0,1,0,,0.5,House For Sale,$350k-$500k,cluster1,3.7
323 Hidden Falls Ct,Pittsburgh,PA,15238," $415,000 ",,3,3,1937,80,1,0,0,0,1,,3.9,Townhouse For Sale,$350k-$500k,cluster2,3.9
518 Clair Dr,Pittsburgh,PA,15241," $415,000 ",,4,4,1928,89,1,1,1,0,0,,4.1,House For Sale,$350k-$500k,cluster2,4.2
140 Oak Meadow Dr,Oakmont,PA,15139," $414,000 ",,4,3,2001,16,0,0,1,0,0,,3.9,House For Sale,$350k-$500k,cluster3,1
Reis Run Road And Karen Rd # OJV0SP,Pittsburgh,PA,15237," $412,990 "," 2,837 ",4,3,1961,56,1,1,1,0,0, $145.57 ,3.9,New Construction,$350k-$500k,cluster5,4.6
601 Aberdeen Ct # 6Z6C10,Moon Twp,PA,15108," $411,900 "," 3,728 ",4,3,1907,110,1,1,0,1,0, $110.49 ,4.2,New Construction,$350k-$500k,cluster1,3.1
400 Academy Pl,Sewickley,PA,15143," $410,000 ",,4,4,2014,3,0,0,0,1,1,,3.8,Condo For Sale,$350k-$500k,cluster6,3.7
300 Park Entrance Dr,Pittsburgh,PA,15228," $410,000 ",,4,4,1907,110,0,1,1,1,0,,0.1,House For Sale,$350k-$500k,cluster1,3.4
814 S Trenton Ave,Pittsburgh,PA,15221," $409,900 "," 2,350 ",5,2,1903,114,1,1,1,0,0, $174.43 ,3.6,House For Sale,$350k-$500k,cluster2,3.1
137 Kentzel Rd,Pittsburgh,PA,15237," $409,900 ",,3,3,1931,86,1,1,1,0,1,,3.1,House For Sale,$350k-$500k,cluster2,3.7
2506 Mission St,Pittsburgh,PA,15203," $409,000 "," 2,000 ",3,4,1965,52,0,1,1,1,1, $204.50 ,3.5,Make Me Move®,$350k-$500k,cluster6,3.7
76 S 19th St,Pittsburgh,PA,15203," $409,000 ",,4,4,2007,10,0,1,1,0,0,,3.5,House For Sale,$350k-$500k,cluster3,1.4
335 Hidden Falls Ct,Pittsburgh,PA,15238," $409,000 ",,3,3,1938,79,1,1,0,1,1,,4.1,House For Sale,$350k-$500k,cluster2,4.5
